Name,mlbam_id,Team,GS,division
"Boyd, Matthew",571510,CHC,18,nl_central
"Rea, Colin",607067,CHC,17,nl_central
"Taillon, Jameson",592791,CHC,13,nl_central
"Imanaga, Shota",684007,CHC,12,nl_central
"Horton, Cade",690990,CHC,12,nl_central
"Brown, Ben",676962,CHC,7,nl_central
"Singer, Brady",663903,CIN,18,nl_central
"Abbott, Andrew",671096,CIN,16,nl_central
"Martinez, Nick",607259,CIN,14,nl_central
"Lodolo, Nick",666157,CIN,14,nl_central
"Greene, Hunter",668881,CIN,12,nl_central
"Littell, Zack",641793,CIN,4,nl_central
"Burns, Chase",695505,CIN,4,nl_central
"Peralta, Freddy",642547,MIL,21,nl_central
"Quintana, Jose",500779,MIL,12,nl_central
"Patrick, Chad",694477,MIL,12,nl_central
"Priester, Quinn",682990,MIL,10,nl_central
"Woodruff, Brandon",605540,MIL,7,nl_central
"Misiorowski, Jacob",694819,MIL,7,nl_central
"Keller, Mitch",656605,PIT,17,nl_central
"Skenes, Paul",694973,PIT,17,nl_central
"Falter, Bailey",663559,PIT,12,nl_central
"Heaney, Andrew",571760,PIT,11,nl_central
"Burrows, Mike",681347,PIT,11,nl_central
"Mlodzinski, Carmen",669387,PIT,6,nl_central
"Oviedo, Johan",670912,PIT,4,nl_central
"Ashcraft, Braxton",677952,PIT,4,nl_central
"Gray, Sonny",543243,STL,21,nl_central
"Mikolas, Miles",571945,STL,16,nl_central
"Pallante, Andre",669467,STL,16,nl_central
"Liberatore, Matthew",669461,STL,14,nl_central
"Fedde, Erick",607200,STL,9,nl_central
"McGreevy, Michael",700241,STL,8,nl_central
